req_id,domain,source_path,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,risk_flags,review_decision,review_notes
UA2-01976,user-agent,docs/PRD-用户端体验增强.md,功能规格,站内通知 / 邮件 / 短信 / Webhook,站内通知 / 邮件 / 短信 / Webhook,245,11;67;141;176;240;300;338;409,MARKDOWN_OR_PATH,PENDING,
UA2-01979,user-agent,docs/PRD-用户端体验增强.md,功能规格,静默时段,静默时段,247,11;67;141;176;240;300;338;409,NONE_DETECTED,PENDING,
UA2-01980,user-agent,docs/PRD-用户端体验增强.md,功能规格,设置安静时段（如 23:00-08:00 不推送）,设置安静时段（如 23:00-08:00 不推送）,247,11;67;141;176;240;300;338;409,NUMERIC,PENDING,
UA2-01984,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/notification-preferences,/api/v1/me/notification-preferences,279;280,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01985,user-agent,docs/PRD-用户端体验增强.md,API 接口,获取通知偏好,获取通知偏好,279,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01989,user-agent,docs/PRD-用户端体验增强.md,API 接口,更新通知偏好,更新通知偏好,280,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01992,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/notifications,/api/v1/me/notifications,281;282;283,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01993,user-agent,docs/PRD-用户端体验增强.md,API 接口,通知历史列表,通知历史列表,281,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01996,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/notifications/:id/read,/api/v1/me/notifications/:id/read,282,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01997,user-agent,docs/PRD-用户端体验增强.md,API 接口,标记已读,标记已读,282;283,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-02000,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/notifications/read-all,/api/v1/me/notifications/read-all,283,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-02001,user-agent,docs/PRD-用户端体验增强.md,API 接口,全部标记已读,全部标记已读,283,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-02010,user-agent,docs/PRD-用户端体验增强.md,功能规格,登录活动日志,登录活动日志,316,11;67;141;176;240;300;338;409,NONE_DETECTED,PENDING,
UA2-02012,user-agent,docs/PRD-用户端体验增强.md,功能规格,安全设置,安全设置,306;308,11;67;141;176;240;300;338;409,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00707,integrations-sso,docs/PRD-第三方集成.md,16.3 短信服务集成,| 模块 | 说明 |,需求规定：妯″潡 | 璇存槑,21;60;70,58,NUMERIC,PENDING,
REQ-ADMINPORTAL-00730,integrations-sso,docs/PRD-第三方集成.md,16.7 前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,99,97,NUMERIC,PENDING,
REQ-ADMINPORTAL-02873,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“输入”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02874,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“前置”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02875,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“角色”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02876,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“权限”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02877,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“状态”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02878,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“正常”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02879,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“边界”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02880,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“异常”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02881,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“并发”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02882,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“幂等”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02883,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“事务”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02884,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“回滚”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02885,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“落库”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02886,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“缓存”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02887,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“通知”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02888,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“审计”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02889,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“监控”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-02890,integrations-sso,docs/PRD-第三方集成.md,#### 16.7 前端变更,#### 16.7 前端变更,该需求域必须单独定义并验证“测试”维度。,97,97,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00001,admin-portal,docs/PRD-管理后台.md,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：**鏍稿績鎸囨爣鍖哄煙**,2,2,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00009,admin-portal,docs/PRD-管理后台.md,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：姣涘埄鐜?| (姣涘埄娑?鏀跺叆)脳100 | 1 灏忔椂 | 25.6%,2,2,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00011,admin-portal,docs/PRD-管理后台.md,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：**寰呭姙闃熷垪**,2,2,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00012,admin-portal,docs/PRD-管理后台.md,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：绫诲瀷 | 鏁版嵁婧?| 灞曠ず鏂瑰紡,2,2,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00016,admin-portal,docs/PRD-管理后台.md,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：寰呯‘璁ょ粨绠?| `agent_settlement` status=pending | 鏁板瓧寰界珷,2,2,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00017,admin-portal,docs/PRD-管理后台.md,4.1 总览看板 `/admin`,### 4.1 总览看板 `/admin`,需求规定：寰呮帹閫佸叕鍛?| `announcements` scheduled_at <= now | 鏁板瓧寰界珷,2,2,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00067,admin-portal,docs/PRD-管理后台.md,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：渚涘簲鍟?| `DeepSeek`,212,212,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00068,admin-portal,docs/PRD-管理后台.md,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：鑳藉姏绫诲瀷 | 鏂囨湰鐢熸垚 / 瀵硅瘽 / 浠ｇ爜 / 鍥惧儚 / 宓屽叆,212,212,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00072,admin-portal,docs/PRD-管理后台.md,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：鎿嶄綔 | [缂栬緫] [涓嬬嚎/涓婄嚎],212,212,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00074,admin-portal,docs/PRD-管理后台.md,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：**浠锋牸鍙樻洿鍘嗗彶**,212,212,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00075,admin-portal,docs/PRD-管理后台.md,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：**鎵归噺浠锋牸鍙樻洿**,212,212,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00102,admin-portal,docs/PRD-管理后台.md,4.4.1 财务总览 `/admin/finance`,#### 4.4.1 财务总览 `/admin/finance`,需求规定：**鏀跺叆鍒嗘瀽闈㈡澘**,381,381,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00124,admin-portal,docs/PRD-管理后台.md,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：鏃堕棿 | 2026-07-26 11:35,466,466,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00125,admin-portal,docs/PRD-管理后台.md,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：浠ｇ悊 | TechAgent,466,466,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00128,admin-portal,docs/PRD-管理后台.md,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：浣ｉ噾鐜?| 10%,466,466,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00130,admin-portal,docs/PRD-管理后台.md,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：缁撶畻鐘舵€?| 宸茬粨绠?/ 寰呯粨绠?,466,466,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00131,admin-portal,docs/PRD-管理后台.md,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：缁撶畻鍛ㄦ湡 | 2026-07,466,466,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00134,admin-portal,docs/PRD-管理后台.md,4.5.1 活动管理 `/admin/campaigns`,#### 4.5.1 活动管理 `/admin/campaigns`,需求规定：**娲诲姩绫诲瀷涓庨厤缃?*,548,548,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00143,admin-portal,docs/PRD-管理后台.md,4.5.1 活动管理 `/admin/campaigns`,#### 4.5.1 活动管理 `/admin/campaigns`,需求规定：**娲诲姩鏁版嵁杩借釜**,548,548,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00144,admin-portal,docs/PRD-管理后台.md,4.5.1 活动管理 `/admin/campaigns`,#### 4.5.1 活动管理 `/admin/campaigns`,需求规定：鎸囨爣 | 璁＄畻鏂瑰紡,548,548,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00198,admin-portal,docs/PRD-管理后台.md,4.6.2 安全配置 `/admin/security-config`,#### 4.6.2 安全配置 `/admin/security-config`,需求规定：**IP 榛戠櫧鍚嶅崟**,795,795,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00200,admin-portal,docs/PRD-管理后台.md,4.6.2 安全配置 `/admin/security-config`,#### 4.6.2 安全配置 `/admin/security-config`,需求规定：**鐧诲綍闄愬埗**,795,795,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-ADMINPORTAL-00261,admin-portal,docs/PRD-管理后台.md,4.8.1 系统参数配置 `/admin/configs`,#### 4.8.1 系统参数配置 `/admin/configs`,需求规定：瀹夊叏 | 鐧诲綍閿佸畾闃堝€?| int | 5 | 娆?5鍒嗛挓,1093,1093,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00276,admin-portal,docs/PRD-管理后台.md,4.8.1 系统参数配置 `/admin/configs`,#### 4.8.1 系统参数配置 `/admin/configs`,需求规定：渚涘簲鍟?| 鍋ュ悍妫€鏌ラ棿闅?| int | 30 | 绉?,1093,1093,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00277,admin-portal,docs/PRD-管理后台.md,4.8.1 系统参数配置 `/admin/configs`,#### 4.8.1 系统参数配置 `/admin/configs`,需求规定：渚涘簲鍟?| 鐔旀柇澶辫触闃堝€?| int | 10 | 杩炵画澶辫触娆℃暟,1093,1093,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00432,system-admin,docs/PRD-系统管理员支撑.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,33;73;109;182;218;273;346;415,31;71;107;180;216;271;344;413,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00450,system-admin,docs/PRD-系统管理员支撑.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,33;73;109;182;218;273;346;415,31;71;107;180;216;271;344;413,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00466,system-admin,docs/PRD-系统管理员支撑.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,33;73;109;182;218;273;346;415,31;71;107;180;216;271;344;413,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00482,system-admin,docs/PRD-系统管理员支撑.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,33;73;109;182;218;273;346;415,31;71;107;180;216;271;344;413,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00496,system-admin,docs/PRD-系统管理员支撑.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,33;73;109;182;218;273;346;415,31;71;107;180;216;271;344;413,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00523,system-admin,docs/PRD-系统管理员支撑.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,33;73;109;182;218;273;346;415,31;71;107;180;216;271;344;413,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00544,system-admin,docs/PRD-系统管理员支撑.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,33;73;109;182;218;273;346;415,31;71;107;180;216;271;344;413,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00561,system-admin,docs/PRD-系统管理员支撑.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,33;73;109;182;218;273;346;415,31;71;107;180;216;271;344;413,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00734,admin-portal,docs/PRD-组件库规范.md,基础组件,| 缁勪欢 | 鐢ㄩ€?| 鐘舵€?|,需求规定：缁勪欢 | 鐢ㄩ€?| 鐘舵€?,9;24,7,POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00739,admin-portal,docs/PRD-组件库规范.md,基础组件,| StatusBadge | 鐘舵€佹爣绛撅紝棰滆壊/鍥炬爣鏍规嵁鐘舵€佽嚜鍔ㄦ槧灏?| 宸叉湁 |,需求规定：StatusBadge | 鐘舵€佹爣绛撅紝棰滆壊/鍥炬爣鏍规嵁鐘舵€佽嚜鍔ㄦ槧灏?| 宸叉湁,15,7,MARKDOWN_OR_PATH;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00742,admin-portal,docs/PRD-组件库规范.md,基础组件,| LoadingSkeleton | 楠ㄦ灦灞忓姞杞藉崰浣?| 宸叉湁 |,需求规定：LoadingSkeleton | 楠ㄦ灦灞忓姞杞藉崰浣?| 宸叉湁,18,7,POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00764,admin-portal,docs/PRD-组件库规范.md,15.4 前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,89,87,NUMERIC,PENDING,
REQ-CF-00164,core-finance,docs/PRD-财务模块增强.md,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`GET`,64;127;174;247;274,62;125;172;245;272,MARKDOWN_OR_PATH,PENDING,
REQ-CF-00172,core-finance,docs/PRD-财务模块增强.md,API 接口,| `POST` | `/api/v1/admin/finance/reports/monthly/generate` | 手动生成报告 | finance 以上 |,鏂规硶应满足：`POST`,68,62;125;172;245;272,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00174,core-finance,docs/PRD-财务模块增强.md,API 接口,| `POST` | `/api/v1/admin/finance/reports/monthly/generate` | 手动生成报告 | finance 以上 |,璇存槑应满足：鎵嬪姩鐢熸垚鎶ュ憡,68,62;125;172;245;272,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00178,core-finance,docs/PRD-财务模块增强.md,API 接口,| `GET` | `/api/v1/admin/finance/reports/monthly/:period/pdf` | 下载 PDF | finance 以上 |,璇存槑应满足：涓嬭浇 PDF,69,62;125;172;245;272,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00219,core-finance,docs/PRD-财务模块增强.md,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`PUT`,64;127;174;247;274,62;125;172;245;272,MARKDOWN_OR_PATH,PENDING,
REQ-CF-00222,core-finance,docs/PRD-财务模块增强.md,API 接口,| `GET` | `/api/v1/admin/finance/reports/monthly` | 月度报告列表 | finance 以上 |,鏉冮檺应满足：super_admin,66,62;125;172;245;272,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00300,core-finance,docs/PRD-财务模块增强.md,9.7 财务模块总览,| 月度财务报告 | P0 | 后端3d+前端2d | 管理层决策的核心数据 |,妯″潡应满足：鏈堝害璐㈠姟鎶ュ憡,294,289,NUMERIC,PENDING,
REQ-CF-00308,core-finance,docs/PRD-财务模块增强.md,9.7 财务模块总览,| 授信额度体系 | P1 | 后端5d+前端3d | 大客户业务的前提条件 |,妯″潡应满足：鎺堜俊棰濆害浣撶郴,296,289,NUMERIC,PENDING,
REQ-CF-02596,core-finance,docs/PRD-运营增长模块.md,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`GET`,41;103;174;249;331,39;101;172;247;329,MARKDOWN_OR_PATH,PENDING,
REQ-CF-02638,core-finance,docs/PRD-运营增长模块.md,API 接口,| 方法 | 路径 | 说明 | 权限 |,璇存槑应满足：鎴戠殑浼樻儬鍒稿垪琛?,41;103;174;249;331,39;101;172;247;329,POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-CF-02642,core-finance,docs/PRD-运营增长模块.md,API 接口,| 方法 | 路径 | 说明 | 权限 |,璇存槑应满足：浣跨敤浼樻儬鍒?,41;103;174;249;331,39;101;172;247;329,POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-CF-02724,core-finance,docs/PRD-运营增长模块.md,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`PATCH`,41;103;174;249;331,39;101;172;247;329,MARKDOWN_OR_PATH,PENDING,
REQ-CF-02801,core-finance,docs/PRD-运营增长模块.md,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏉冮檺应满足：浠ｇ悊鍟?,41;103;174;249;331,39;101;172;247;329,POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-CF-02804,core-finance,docs/PRD-运营增长模块.md,API 接口,| 方法 | 路径 | 说明 | 权限 |,璇存槑应满足：閲嶆柊鐢熸垚鎺ㄨ崘鐮?,41;103;174;249;331,39;101;172;247;329,POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-CF-02806,core-finance,docs/PRD-运营增长模块.md,API 接口,| 方法 | 路径 | 说明 | 权限 |,鏂规硶应满足：`PUT`,41;103;174;249;331,39;101;172;247;329,MARKDOWN_OR_PATH,PENDING,
REQ-CF-02834,core-finance,docs/PRD-运营增长模块.md,前端变更,| 页面 | 变更 |,椤甸潰应满足：娉ㄥ唽椤甸潰,51;112;185;259;343,49;110;183;257;341,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00586,growth-operations,docs/PRD-运营增长模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00602,growth-operations,docs/PRD-运营增长模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00620,growth-operations,docs/PRD-运营增长模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00639,growth-operations,docs/PRD-运营增长模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00675,growth-operations,docs/PRD-运营增长模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,51;112;185;259;343,49;110;183;257;341,NONE_DETECTED,PENDING,
UA2-06278,user-agent,docs/ref-11.5-performance.md,娣卞寲鍙傝€冿細搂11.5 涓氱哗鐪嬫澘,**关联**：[`ref-11.1-crm.md`](ref-11.1-crm.md)、[`ref-11.4-opportunity.md`](ref-11.4-opportunity.md)、[`ref-4.2-user-management.md`](ref-4.2-user-management.md),**关联**：[`ref-11.1-crm.md`](ref-11.1-crm.md)、[`ref-11.4-opportunity.md`](ref-11.4-opportunity.md)、[`ref-4.2-user-management.md`](ref-4.2-user-management.md),4,1,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-06286,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,label: string;,label: string;,136,18,NUMERIC,PENDING,
UA2-06287,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,// KPI 名称,// KPI 名称,136,18,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-06295,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,// 涓氱哗瓒嬪娍鍥?interface PerformanceTrendChartProps {,// 涓氱哗瓒嬪娍鍥?interface PerformanceTrendChartProps {,142,18,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
UA2-06296,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,data: TrendDataPoint[];,data: TrendDataPoint[];,143,18,NUMERIC,PENDING,
UA2-06297,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,months: number;,months: number;,144,18,NUMERIC,PENDING,
UA2-06298,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,// 月份数，默认 6,// 月份数，默认 6,144,18,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-06299,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,onMonthChange?: (months: number) => void;,onMonthChange?: (months: number) => void;,145,18,NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
UA2-06300,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,interface TrendDataPoint {,interface TrendDataPoint {,148,18,NUMERIC,PENDING,
UA2-06301,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,month: string;,month: string;,149,18,NUMERIC,PENDING,
UA2-06302,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,"// ""2026-02""","// ""2026-02""",149,18,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-06303,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,newCustomers: number;,newCustomers: number;,150,18,NUMERIC,PENDING,
UA2-06304,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,consumption: number;,consumption: number;,151,18,NUMERIC,PENDING,
UA2-06305,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,// 客户构成饼图,// 客户构成饼图,154,18,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-06306,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,interface CustomerCompositionPieProps {,interface CustomerCompositionPieProps {,155,18,NUMERIC,PENDING,
UA2-06307,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,data: { status: string;,data: { status: string;,156,18,NUMERIC,PENDING,
UA2-06308,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,count: number;,count: number;,156,18,NUMERIC,PENDING,
UA2-06309,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,percentage: number;,percentage: number;,156,18,NUMERIC,PENDING,
UA2-06312,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,// 佣金预估,// 佣金预估,159,18,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-06313,user-agent,docs/ref-11.5-performance.md,1. 本月业绩概览,interface CommissionEstimateProps {,interface CommissionEstimateProps {,160,18,NUMERIC,PENDING,
